COMMUNICATION 2 1 5 9 8 0 0 2672 5256 5257 16412 27244
COMMUNICATION 2 1 5 9 8 1 0 2644 5255 5258 16165 27234
COMMUNICATION 2 1 5 9 8 2 0 2663 5256 5259 16126 27248
COMMUNICATION 2 1 5 9 8 3 0 2659 5255 5260 16250 27240
COMMUNICATION 2 1 5 9 8 4 1 2627 5253 5263 16111 27239
COMMUNICATION 2 1 5 9 8 5 1 2587 5252 5268 15754 27232
COMMUNICATION 2 1 5 9 8 6 4 2649 5256 5282 16477 27246
COMMUNICATION 2 1 5 9 8 7 8 2677 5255 5305 16292 27242
COMMUNICATION 2 1 5 9 6 0 6 2725 5219 5263 6308 7741
COMMUNICATION 2 1 5 9 6 1 39 2999 5254 5281 6592 7759
COMMUNICATION 2 1 5 9 6 2 44 2676 5258 5285 6469 7762
COMMUNICATION 2 1 5 9 6 3 101 2674 5036 5321 6319 7658
COMMUNICATION 2 1 5 9 6 4 151 2672 5222 5347 6196 7744
COMMUNICATION 2 1 5 9 6 5 180 3625 5234 5360 6995 7752
COMMUNICATION 4 1 5 9 8 0 0 17656 35336 35338 107871 180972
COMMUNICATION 4 1 5 9 8 1 0 17643 35337 35339 107176 180960
COMMUNICATION 4 1 5 9 8 2 0 17808 35336 35340 108193 180974
COMMUNICATION 4 1 5 9 8 3 0 17515 35337 35341 107635 180976
COMMUNICATION 4 1 5 9 8 4 1 17793 35337 35346 108346 180978
COMMUNICATION 4 1 5 9 8 5 1 17625 35335 35347 108281 180971
COMMUNICATION 4 1 5 9 8 6 2 17747 35335 35349 108009 180970
COMMUNICATION 4 1 5 9 8 7 3 17571 35336 35359 107240 180973
COMMUNICATION 4 1 5 9 6 0 7 17588 35324 35339 38582 42322
COMMUNICATION 4 1 5 9 6 1 19 18254 35337 35340 38669 42324
COMMUNICATION 4 1 5 9 6 2 31 17135 35334 35342 38734 42323
COMMUNICATION 4 1 5 9 6 3 80 19559 35252 35353 38424 42311
COMMUNICATION 4 1 5 9 6 4 185 14724 35137 35368 38209 42242
COMMUNICATION 4 1 5 9 6 5 1700 20639 32582 35703 40060 41807
